Date,equity
2023-03-17,2339.333904101106
2023-03-18,2327.3611008683392
2023-03-19,2349.1912395800064
2023-03-20,2341.095211890127
2023-03-21,2363.5781500501266
2023-03-22,2332.453362892895
2023-03-23,2367.6992464445284
2023-03-24,2348.007584031507
2023-03-25,2346.748131631006
2023-03-26,2359.6691349049324
2023-03-27,2319.615283235232
2023-03-28,2333.9106178409047
2023-03-29,2368.0514995176927
2023-03-30,2372.6511854385512
2023-03-31,2405.1423845701743
2023-04-01,2401.9638869799037
2023-04-02,2394.0652902214006
2023-04-03,2394.303634626713
2023-04-04,2414.37750469058
2023-04-05,2419.925742912482
2023-04-06,2413.9892898366143
2023-04-07,2410.4185021770563
2023-04-08,2406.1455322306856
2023-04-09,2414.076337553778
2023-04-10,2439.502402215627
2023-04-11,2442.5782107646537
2023-04-12,2443.3155486608903
2023-04-13,2484.831741646765
2023-04-14,2501.8883806866525
2023-04-15,2496.52218827643
2023-04-16,2504.930665860483
2023-04-17,2482.06950162955
2023-04-18,2500.4482003558096
2023-04-19,2453.081643004622
2023-04-20,2438.543960906186
2023-04-21,2410.187511127063
2023-04-22,2420.928588084945
2023-04-23,2416.0219988433764
2023-04-24,2413.790769940771
2023-04-25,2406.1734779933595
2023-04-26,2407.257332795359
2023-04-27,2459.6954881104116
2023-04-28,2472.4341828872
2023-04-29,2473.314879044621
2023-04-30,2468.751785701711
2023-05-01,2436.477204107249
2023-05-02,2445.2281054346677
2023-05-03,2447.0131669959724
2023-05-04,2432.4289446217485
2023-05-05,2483.741199180591
2023-05-06,2461.8127815149765
2023-05-07,2452.3049084854288
2023-05-08,2435.9207051286608
2023-05-09,2425.7014893403075
2023-05-10,2442.297010190925
2023-05-11,2429.8352978238154
2023-05-12,2422.188054989499
2023-05-13,2419.94266797205
2023-05-14,2422.752473512371
2023-05-15,2434.4406775498546
2023-05-16,2429.100664934992
2023-05-17,2452.9300935646297
2023-05-18,2464.760895819597
2023-05-19,2463.1794228098674
2023-05-20,2467.639610839823
2023-05-21,2459.124809072286
2023-05-22,2466.0702502926615
2023-05-23,2455.945116938251
2023-05-24,2421.0913230180076
2023-05-25,2458.090198764205
2023-05-26,2509.715470332577
2023-05-27,2513.428974958583
2023-05-28,2543.3129733987325
2023-05-29,2534.4813619329766
2023-05-30,2546.6825173719235
2023-05-31,2525.12328766475
2023-06-01,2539.6784166426837
2023-06-02,2565.4303833001995
2023-06-03,2560.1351331334727
2023-06-04,2561.279270043434
2023-06-05,2525.799711560514
2023-06-06,2563.071592639499
2023-06-07,2505.4872647990614
2023-06-08,2534.7135407751816
2023-06-09,2537.2460918194442
2023-06-10,2510.6341209192815
2023-06-11,2512.033752812691
2023-06-12,2538.880789528201
2023-06-13,2548.3940831365635
2023-06-14,2534.9764270743535
2023-06-15,2572.5482696982276
2023-06-16,2579.6650805807794
2023-06-17,2584.6471993519926
2023-06-18,2580.623656620316
2023-06-19,2596.2842916160257
2023-06-20,2636.926439674523
2023-06-21,2674.390456682384
2023-06-22,2678.302322155304
2023-06-23,2686.866034986712
2023-06-24,2678.9964285806614
2023-06-25,2683.2065290175105
2023-06-26,2648.9327046143903
2023-06-27,2690.530495931267
2023-06-28,2667.305541429101
2023-06-29,2677.58300942795
2023-06-30,2728.018710954813
2023-07-01,2728.231702577042
2023-07-02,2733.446569187696
2023-07-03,2750.4447283602294
2023-07-04,2738.081542077564
2023-07-05,2721.9242921432947
2023-07-06,2678.3746905771986
2023-07-07,2690.152177384235
2023-07-08,2688.990017318686
2023-07-09,2684.5137692643757
2023-07-10,2694.759535645071
2023-07-11,2711.81646312961
2023-07-12,2732.531413493169
2023-07-13,2822.9396568441452
2023-07-14,2782.9106381774914
2023-07-15,2781.8363200214008
2023-07-16,2779.2320588765406
2023-07-17,2789.793823961331
2023-07-18,2797.580316386594
2023-07-19,2803.3255107321706
2023-07-20,2752.8956261335834
2023-07-21,2751.037200403237
2023-07-22,2740.4706262168947
2023-07-23,2752.5993237165294
2023-07-24,2724.043876015232
2023-07-25,2738.4410255459343
2023-07-26,2743.635625018684
2023-07-27,2721.4353542863378
2023-07-28,2760.628513321497
2023-07-29,2763.392226272365
2023-07-30,2755.800648910333
2023-07-31,2754.8900384016656
2023-08-01,2754.106243776314
2023-08-02,2697.1139951563523
2023-08-03,2683.909347033933
2023-08-04,2679.498724446375
2023-08-05,2679.9276847895817
2023-08-06,2679.4517488582246
2023-08-07,2691.5608579220507
2023-08-08,2699.3469874315474
2023-08-09,2679.775929561355
2023-08-10,2673.1186101653125
2023-08-11,2662.6310777533563
2023-08-12,2663.7750603443283
2023-08-13,2658.5970463117383
2023-08-14,2677.4696245628757
2023-08-15,2648.416763046926
2023-08-16,2614.585865862812
2023-08-17,2536.1431809501382
2023-08-18,2519.6436203273215
2023-08-19,2522.8355599485612
2023-08-20,2527.106832096791
2023-08-21,2542.1303193791928
2023-08-22,2538.7945530155603
2023-08-23,2581.8696336737867
2023-08-24,2538.269899832162
2023-08-25,2550.4452069754293
2023-08-26,2549.691579207974
2023-08-27,2551.5704714883514
2023-08-28,2564.839214502503
2023-08-29,2624.025465149437
2023-08-30,2628.2872711708483
2023-08-31,2618.5277393506144
2023-09-01,2609.886889145115
2023-09-02,2611.0326353127184
2023-09-03,2611.9444970474246
2023-09-04,2610.2901291106596
2023-09-05,2604.8531880632104
2023-09-06,2587.2652113906865
2023-09-07,2580.9531118907503
2023-09-08,2580.771162129381
2023-09-09,2580.417741003309
2023-09-10,2577.344638892283
2023-09-11,2566.1506701904786
2023-09-12,2562.7970247668036
2023-09-13,2588.275388480256
2023-09-14,2619.4854965501627
2023-09-15,2601.165231538492
2023-09-16,2599.532616093822
2023-09-17,2587.6888463484356
2023-09-18,2624.1599048358585
2023-09-19,2635.2916409498634
2023-09-20,2620.4085630580626
2023-09-21,2542.3285358006106
2023-09-22,2544.3355102366017
2023-09-23,2545.6360692033195
2023-09-24,2538.8781127772722
2023-09-25,2538.353318019544
2023-09-26,2496.6954390713363
2023-09-27,2500.3603031008042
2023-09-28,2550.0778873114327
2023-09-29,2560.39227086171
2023-09-30,2600.0329069166073
2023-10-01,2698.181791825595
2023-10-02,2678.9546097248726
2023-10-03,2645.027882510997
2023-10-04,2660.6197461245188
2023-10-05,2633.6861941052784
2023-10-06,2689.4751896883477
2023-10-07,2684.65123725621
2023-10-08,2682.9629174994157
2023-10-09,2661.162335242477
2023-10-10,2667.7953242357694
2023-10-11,2680.9625780431734
2023-10-12,2637.3648761521267
2023-10-13,2646.687708685735
2023-10-14,2652.641338663387
2023-10-15,2652.4662471049105
2023-10-16,2748.6829204249716
2023-10-17,2737.005784693564
2023-10-18,2692.075415359331
2023-10-19,2724.675732308941
2023-10-20,2779.9197684857218
2023-10-21,2860.5251253800316
2023-10-22,2851.2305944075747
2023-10-23,2980.258547211191
2023-10-24,2951.94914185048
2023-10-25,2984.778081765364
2023-10-26,2969.965100529444
2023-10-27,2937.030292610558
2023-10-28,2934.917022383932
2023-10-29,2978.219903676422
2023-10-30,3065.326751338172
2023-10-31,3190.0523855446972
2023-11-01,3328.999948577309
2023-11-02,3320.3305418863183
2023-11-03,3323.96605460452
2023-11-04,3421.851568410443
2023-11-05,3389.1891318397847
2023-11-06,3420.779377009902
2023-11-07,3474.0618094508527
2023-11-08,3484.53099828318
2023-11-09,3567.069264398099
2023-11-10,3975.527802744328
2023-11-11,3953.8390373377674
2023-11-12,3954.193717404644
2023-11-13,3806.03484540469
2023-11-14,4005.029463154081
2023-11-15,4314.015342048777
2023-11-16,4046.7973950338114
2023-11-17,4070.552993383937
2023-11-18,4073.8757651414544
2023-11-19,4180.065451045909
2023-11-20,4047.997753607653
2023-11-21,3867.1856713963566
