date,estimated-transaction-volume-usd
2016-12-24,202692630.219886
2016-12-28,329559351.888611
2017-01-01,166788994.438506
2017-01-05,565779976.610049
2017-01-09,272509052.560264
2017-01-13,246890176.531767
2017-01-17,291783384.764451
2017-01-21,210309696.023502
2017-01-25,266770577.731972
2017-01-29,133740567.748452
2017-02-02,212437107.387626
2017-02-06,218963129.707101
2017-02-10,289197728.970044
2017-02-14,234339661.006721
2017-02-18,179904049.623422
2017-02-22,220185412.839073
2017-02-26,199581169.873158
2017-03-02,431801396.598851
2017-03-06,292613411.670063
2017-03-10,329245440.202684
2017-03-14,347466704.53874
2017-03-18,393335618.185788
2017-03-22,388745237.566684
2017-03-26,234975161.590919
2017-03-30,345704441.184584
2017-04-03,357722808.461735
2017-04-07,411459319.524365
2017-04-11,353047267.58305
2017-04-15,274787437.027829
2017-04-19,305279308.340359
2017-04-23,211860005.848388
2017-04-27,398959237.374387
2017-05-01,446976193.582856
2017-05-05,590516942.167419
2017-05-09,759833620.667136
2017-05-13,426951909.091612
2017-05-17,944733565.5861
2017-05-21,543457757.444168
2017-05-25,1318459470.59989
2017-05-29,568563505.464611
2017-06-02,722150565.070563
2017-06-06,888558904.123181
2017-06-10,681180409.132709
2017-06-14,822548360.611942
2017-06-18,531175986.631959
2017-06-22,691666616.597193
2017-06-26,702272424.580716
2017-06-30,771010449.218829
2017-07-04,567987081.544197
2017-07-08,561328143.364668
2017-07-12,557154714.150382
2017-07-16,461680301.680574
2017-07-20,654227781.226007
2017-07-24,568575160.453683
2017-07-28,1311599707.74372
2017-08-01,1380839765.70984
2017-08-05,979154079.251385
2017-08-09,808740219.23306
2017-08-13,946915671.514233
2017-08-17,1362840510.69978
2017-08-21,816604742.108505
2017-08-25,763980859.57522
2017-08-29,1113343542.50353
2017-09-02,945272819.329301
2017-09-06,1328829016.12437
2017-09-10,849737599.424126
2017-09-14,1008072397.20311
2017-09-18,810015857.700415
2017-09-22,720084890.797891
2017-09-26,783377529.605634
2017-09-30,654917752.443883
2017-10-04,611184779.702613
2017-10-08,678141979.346104
2017-10-12,1072717734.6568
2017-10-16,1148993979.04203
2017-10-20,1094088679.1563
2017-10-24,2184205097.23059
2017-10-28,645357529.902608
2017-11-01,1921728654.83974
2017-11-05,1346375105.55772
2017-11-09,2366841243.84241
2017-11-13,2070829566.4518
2017-11-17,2848162964.48163
2017-11-21,2632881286.5975
2017-11-25,2302620556.51406
2017-11-29,4301831779.47883
2017-12-03,2065023836.1632
2017-12-07,5271885974.64757
2017-12-11,4272284928.33151
2017-12-15,4219284344.1263
2017-12-19,3906879033.08123
2017-12-23,2381107619.03715
2017-12-27,4777859401.98801
2017-12-31,3132315786.3277
2018-01-04,3959988059.41157
2018-01-08,4095843401.55246
2018-01-12,3201370800.58497
2018-01-16,3280040384.20681
2018-01-20,2591920373.50638
2018-01-24,2043489449.82019
2018-01-28,1946407701.49201
